
===== season 1980 =====
  比赛覆盖(RS): player_gamelog 覆盖 824 / dim_games(Reg) 902  !! 覆盖不足（缺 78 场）
  [逐人完整性] !! 99 个球员缺失场次:
     Roger Phegley (pheglro01): 应有 78 场, 现有 51 场, 缺 27 场
     Bobby Jones (jonesbo01): 应有 81 场, 现有 57 场, 缺 24 场
     Cliff Robinson (robincl01): 应有 70 场, 现有 46 场, 缺 24 场
     Eddie Jordan (jordaed01): 应有 82 场, 现有 58 场, 缺 24 场
     Greg Ballard (ballagr01): 应有 82 场, 现有 58 场, 缺 24 场
     Henry Bibby (bibbyhe01): 应有 82 场, 现有 58 场, 缺 24 场
     Jan van Breda Kolff (vanbrja01): 应有 82 场, 现有 58 场, 缺 24 场
     Kevin Restani (restake01): 应有 82 场, 现有 58 场, 缺 24 场
     Larry Wright (wrighla01): 应有 76 场, 现有 52 场, 缺 24 场
     Mike Newlin (newlimi01): 应有 78 场, 现有 54 场, 缺 24 场
     Paul Griffin (griffpa01): 应有 82 场, 现有 58 场, 缺 24 场
     Wes Unseld (unselwe01): 应有 82 场, 现有 58 场, 缺 24 场
     Caldwell Jones (jonesca01): 应有 80 场, 现有 57 场, 缺 23 场
     Darryl Dawkins (dawkida01): 应有 80 场, 现有 57 场, 缺 23 场
     Elvin Hayes (hayesel01): 应有 81 场, 现有 58 场, 缺 23 场
     George Johnson (johnsge02): 应有 81 场, 现有 58 场, 缺 23 场
     James Silas (silasja01): 应有 77 场, 现有 54 场, 缺 23 场
     Larry Kenon (kenonla01): 应有 78 场, 现有 55 场, 缺 23 场
     Maurice Cheeks (cheekma01): 应有 79 场, 现有 56 场, 缺 23 场
     Steve Mix (mixst01): 应有 81 场, 现有 58 场, 缺 23 场
     George Gervin (gervige01): 应有 78 场, 现有 56 场, 缺 22 场
     Julius Erving (ervinju01): 应有 78 场, 现有 56 场, 缺 22 场
     Robert Smith (smithro01): 应有 65 场, 现有 43 场, 缺 22 场
     Dave Corzine (corzida01): 应有 78 场, 现有 57 场, 缺 21 场
     Kevin Porter (porteke01): 应有 70 场, 现有 49 场, 缺 21 场
     Mark Olberding (olberma01): 应有 75 场, 现有 54 场, 缺 21 场
     Mike Evans (evansmi01): 应有 79 场, 现有 58 场, 缺 21 场
     Allan Bristow (bristal01): 应有 82 场, 现有 62 场, 缺 20 场
     Ben Poquette (poquebe01): 应有 82 场, 现有 62 场, 缺 20 场
     Dennis Johnson (johnsde01): 应有 81 场, 现有 61 场, 缺 20 场
     Duck Williams (willidu01): 应有 77 场, 现有 57 场, 缺 20 场
     Fred Brown (brownfr01): 应有 80 场, 现有 60 场, 缺 20 场
     Gus Williams (willigu01): 应有 82 场, 现有 62 场, 缺 20 场
     Jack Sikma (sikmaja01): 应有 82 场, 现有 62 场, 缺 20 场
     John Johnson (johnsjo01): 应有 81 场, 现有 61 场, 缺 20 场
     John Lucas (lucasjo01): 应有 80 场, 现有 60 场, 缺 20 场
     Mike Gale (galemi01): 应有 67 场, 现有 47 场, 缺 20 场
     Paul Silas (silaspa01): 应有 82 场, 现有 62 场, 缺 20 场
     Raymond Townsend (townsra01): 应有 75 场, 现有 55 场, 缺 20 场
     Sonny Parker (parkeso01): 应有 82 场, 现有 62 场, 缺 20 场
     Tom LaGarde (lagarto01): 应有 82 场, 现有 62 场, 缺 20 场
     Winford Boynes (boynewi01): 应有 64 场, 现有 44 场, 缺 20 场
     Adrian Dantley (dantlad01): 应有 68 场, 现有 49 场, 缺 19 场
     Clifford Ray (raycl01): 应有 81 场, 现有 62 场, 缺 19 场
     Jo Jo White (whitejo01): 应有 78 场, 现有 59 场, 缺 19 场
     Lonnie Shelton (sheltlo01): 应有 76 场, 现有 57 场, 缺 19 场
     Ron Boone (boonero01): 应有 81 场, 现有 62 场, 缺 19 场
     Wayne Cooper (coopewa01): 应有 79 场, 现有 60 场, 缺 19 场
     Bob Elliott (elliobo01): 应有 54 场, 现有 36 场, 缺 18 场
     James Hardy (hardyja01): 应有 76 场, 现有 58 场, 缺 18 场
     Robert Parish (parisro01): 应有 72 场, 现有 54 场, 缺 18 场
     James Bailey (baileja01): 应有 67 场, 现有 50 场, 缺 17 场
     Jim Cleamons (cleamji01): 应有 79 场, 现有 62 场, 缺 17 场
     Kevin Grevey (greveke01): 应有 65 场, 现有 48 场, 缺 17 场
     Wally Walker (walkewa01): 应有 70 场, 现有 53 场, 缺 17 场
     Purvis Short (shortpu01): 应有 62 场, 现有 46 场, 缺 16 场
     Rich Kelley (kelleri01): 应有 80 场, 现有 64 场, 缺 16 场
     Terry Furlow (furlote01): 应有 76 场, 现有 60 场, 缺 16 场
     Tom Boswell (bosweto01): 应有 79 场, 现有 63 场, 缺 16 场
     Bob Dandridge (dandrbo01): 应有 45 场, 现有 30 场, 缺 15 场
     Clint Richardson (richacl01): 应有 52 场, 现有 37 场, 缺 15 场
     Darnell Hillman (hillmda01): 应有 49 场, 现有 35 场, 缺 14 场
     Mack Calvin (calvima01): 应有 48 场, 现有 34 场, 缺 14 场
     Tom Abernethy (abernto01): 应有 67 场, 现有 53 场, 缺 14 场
     Billy Paultz (paultbi01): 应有 84 场, 现有 71 场, 缺 13 场
     Calvin Natt (nattca01): 应有 78 场, 现有 65 场, 缺 13 场
     Paul Dawkins (dawkipa01): 应有 57 场, 现有 44 场, 缺 13 场
     Phil Smith (smithph01): 应有 51 场, 现有 38 场, 缺 13 场
     Wiley Peck (peckwi01): 应有 52 场, 现有 39 场, 缺 13 场
     Jim Spanarkel (spanaji01): 应有 40 场, 现有 28 场, 缺 12 场
     John Williamson (willijo01): 应有 58 场, 现有 46 场, 缺 12 场
     Mitch Kupchak (kupchmi01): 应有 40 场, 现有 28 场, 缺 12 场
     Vinnie Johnson (johnsvi01): 应有 38 场, 现有 27 场, 缺 11 场
