player_name	reason	row_count
A. Thompson [AMBIGUOUS]	AMBIGUOUS	2728
M. Bridges [AMBIGUOUS]	AMBIGUOUS	2663
L. Ball [AMBIGUOUS]	AMBIGUOUS	2266
D. Mitchell [AMBIGUOUS]	AMBIGUOUS	2208
K. George [AMBIGUOUS]	AMBIGUOUS	2174
J. Champagnie [AMBIGUOUS]	AMBIGUOUS	2029
J. Smith [AMBIGUOUS]	AMBIGUOUS	1976
J. Brown [AMBIGUOUS]	AMBIGUOUS	1716
B. Miller [AMBIGUOUS]	AMBIGUOUS	1641
A. Wiggins [AMBIGUOUS]	AMBIGUOUS	1559
J. Green [AMBIGUOUS]	AMBIGUOUS	1546
K. Johnson [AMBIGUOUS]	AMBIGUOUS	1391
J. Johnson [AMBIGUOUS]	AMBIGUOUS	1370
J. Walker [AMBIGUOUS]	AMBIGUOUS	1363
E. Mobley [AMBIGUOUS]	AMBIGUOUS	1331
D. White [AMBIGUOUS]	AMBIGUOUS	1310
J. Williams [AMBIGUOUS]	AMBIGUOUS	1196
D. Harper [AMBIGUOUS]	AMBIGUOUS	1100
J. McDaniels [AMBIGUOUS]	AMBIGUOUS	1073
J. Allen [AMBIGUOUS]	AMBIGUOUS	1031
T. Jones [AMBIGUOUS]	AMBIGUOUS	1024
T. Mann [AMBIGUOUS]	AMBIGUOUS	1022
B. Brown [AMBIGUOUS]	AMBIGUOUS	1014
J. Collins [AMBIGUOUS]	AMBIGUOUS	979
M. Williams [AMBIGUOUS]	AMBIGUOUS	927
C. Johnson [AMBIGUOUS]	AMBIGUOUS	918
J. Jackson [AMBIGUOUS]	AMBIGUOUS	909
J. Grant [AMBIGUOUS]	AMBIGUOUS	901
T. Harris [AMBIGUOUS]	AMBIGUOUS	885
P. Watson [AMBIGUOUS]	AMBIGUOUS	872
T. Murphy [AMBIGUOUS]	AMBIGUOUS	869
T. Johnson [AMBIGUOUS]	AMBIGUOUS	841
D. Powell [AMBIGUOUS]	AMBIGUOUS	813
S. Curry [AMBIGUOUS]	AMBIGUOUS	807
A. Green [AMBIGUOUS]	AMBIGUOUS	795
A. Bailey [AMBIGUOUS]	AMBIGUOUS	790
D. Robinson [AMBIGUOUS]	AMBIGUOUS	780
D. Green [AMBIGUOUS]	AMBIGUOUS	779
J. Hart [AMBIGUOUS]	AMBIGUOUS	767
K. Murray [AMBIGUOUS]	AMBIGUOUS	743
J. Holiday [AMBIGUOUS]	AMBIGUOUS	736
J. Butler [AMBIGUOUS]	AMBIGUOUS	725
B. Williams [AMBIGUOUS]	AMBIGUOUS	692
A. Davis [AMBIGUOUS]	AMBIGUOUS	667
T. Hardaway [AMBIGUOUS]	AMBIGUOUS	637
R. Williams [AMBIGUOUS]	AMBIGUOUS	621
J. Sims [AMBIGUOUS]	AMBIGUOUS	604
D. Smith [AMBIGUOUS]	AMBIGUOUS	601
S. Jones [AMBIGUOUS]	AMBIGUOUS	581
D. Wade [AMBIGUOUS]	AMBIGUOUS	561
H. González Peña [NO-MAP]	NO-MAP	539
D. Jones [AMBIGUOUS]	AMBIGUOUS	533
M. Gueye [AMBIGUOUS]	AMBIGUOUS	508
M. Bagley [AMBIGUOUS]	AMBIGUOUS	498
T. Young [AMBIGUOUS]	AMBIGUOUS	452
R. Nembhard [AMBIGUOUS]	AMBIGUOUS	432
J. Hayes [AMBIGUOUS]	AMBIGUOUS	430
C. Williams [AMBIGUOUS]	AMBIGUOUS	428
K. Brown [AMBIGUOUS]	AMBIGUOUS	423
C. Anthony [AMBIGUOUS]	AMBIGUOUS	378
J. Howard [AMBIGUOUS]	AMBIGUOUS	376
J. Richardson [AMBIGUOUS]	AMBIGUOUS	367
T. Jackson [AMBIGUOUS]	AMBIGUOUS	360
J. Edwards [AMBIGUOUS]	AMBIGUOUS	356
J. Hawkins [AMBIGUOUS]	AMBIGUOUS	355
J. Wilson [AMBIGUOUS]	AMBIGUOUS	336
C. Martin [AMBIGUOUS]	AMBIGUOUS	310
J. Pickett [AMBIGUOUS]	AMBIGUOUS	301
C. Porter [AMBIGUOUS]	AMBIGUOUS	287
G. Trent [AMBIGUOUS]	AMBIGUOUS	279
T. Prince [AMBIGUOUS]	AMBIGUOUS	256
G. Payton [AMBIGUOUS]	AMBIGUOUS	245
K. Anderson [AMBIGUOUS]	AMBIGUOUS	241
A. Jackson [AMBIGUOUS]	AMBIGUOUS	230
J. Robinson [AMBIGUOUS]	AMBIGUOUS	219
A. Johnson [AMBIGUOUS]	AMBIGUOUS	209
Y. Konan Niederhäuser [NO-MAP]	NO-MAP	196
B. Bogdanović [AMBIGUOUS]	AMBIGUOUS	192
J. Battle [AMBIGUOUS]	AMBIGUOUS	188
K. Jones [AMBIGUOUS]	AMBIGUOUS	169
N. Smith [AMBIGUOUS]	AMBIGUOUS	162
M. Smith [AMBIGUOUS]	AMBIGUOUS	159
T. Smith [AMBIGUOUS]	AMBIGUOUS	150
J. McLaughlin [AMBIGUOUS]	AMBIGUOUS	149
B. James [AMBIGUOUS]	AMBIGUOUS	146
A. Williams [AMBIGUOUS]	AMBIGUOUS	143
T. Alexander [AMBIGUOUS]	AMBIGUOUS	115
M. Plumlee [AMBIGUOUS]	AMBIGUOUS	97
R. Harper [AMBIGUOUS]	AMBIGUOUS	75
M. Morris [AMBIGUOUS]	AMBIGUOUS	66
J. Young [AMBIGUOUS]	AMBIGUOUS	44
A. Garcia [AMBIGUOUS]	AMBIGUOUS	23
S. Pippen [AMBIGUOUS]	AMBIGUOUS	20
N. Omier Rojas [NO-MAP]	NO-MAP	10
D. Adelman [NO-MAP]	NO-MAP	8
B. Keefe [NO-MAP]	NO-MAP	7
J. Bickerstaff [NO-MAP]	NO-MAP	6
J. Borrego [NO-MAP]	NO-MAP	6
C. Finch [NO-MAP]	NO-MAP	5
I. Stewartejected [NO-MAP]	NO-MAP	4
J. Durenejected [NO-MAP]	NO-MAP	4
K. Atkinson [NO-MAP]	NO-MAP	4
W. Hardy [NO-MAP]	NO-MAP	4
J. Mosley [NO-MAP]	NO-MAP	3
A. Edwardsejected [NO-MAP]	NO-MAP	2
A. Thompsonejected [NO-MAP]	NO-MAP	2
C. Anthonyejected [NO-MAP]	NO-MAP	2
C. Leeejected [NO-MAP]	NO-MAP	2
D. Adelmanejected [NO-MAP]	NO-MAP	2
D. Brooksejected [NO-MAP]	NO-MAP	2
G. Bitadzeejected [NO-MAP]	NO-MAP	2
I. Udokaejected [NO-MAP]	NO-MAP	2
J. Alvaradoejected [NO-MAP]	NO-MAP	2
J. Mazzulla [NO-MAP]	NO-MAP	2
J. Slawsonejected [NO-MAP]	NO-MAP	2
J. Suggsejected [NO-MAP]	NO-MAP	2
K. Atkinsonejected [NO-MAP]	NO-MAP	2
M. Bridgesejected [NO-MAP]	NO-MAP	2
M. Daigneault [NO-MAP]	NO-MAP	2
M. Diabatéejected [NO-MAP]	NO-MAP	2
M. Gueyeejected [NO-MAP]	NO-MAP	2
M. Johnson [AMBIGUOUS]	AMBIGUOUS	2
M. Williamsejected [NO-MAP]	NO-MAP	2
N. Clowneyejected [NO-MAP]	NO-MAP	2
N. Reidejected [NO-MAP]	NO-MAP	2
S. Kerrejected [NO-MAP]	NO-MAP	2
A. Mitchellejected [NO-MAP]	NO-MAP	1
A. Sarrejected [NO-MAP]	NO-MAP	1
B. Carringtonejected [NO-MAP]	NO-MAP	1
